"COMPUTERNAME","OUPATH","ADDEDBY","DATEADDED","SUCCESSFUL","ERRORS"
"FORA-005","OU=ASSA,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","7/19/2021 8:27:00 PM","True",
"FORA-006","OU=ASSA,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","7/19/2021 8:27:17 PM","True",
"FORA-007","OU=ASSA,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","7/19/2021 8:27:32 PM","True",
"FORA-001","OU=HotSpares,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","8/25/2021 9:25:21 PM","True",
"LIBR-0105-051","OU=West Computers,OU=LIBR-0105,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","11/30/2021 4:20:15 PM","True",
"LIBR-0103-FT1","OU=HotSpares,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","12/8/2021 9:18:00 PM","True",
"LIBR-0103-FT2","OU=HotSpares,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","12/8/2021 9:18:55 PM","True",
"CHEK-0135-001","OU=CHEK-0135,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET",,"12/9/2021 8:20:36 PM","True",""
"CHEK-0135-002","OU=CHEK-0135,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET",,"N/A","False","MAC Address is tied to PROF0199-02"
"CHEK-0135-003","OU=CHEK-0135,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET",,"12/9/2021 8:20:38 PM","True",""
